,지역번호,지역,2008년01월_계,2008년02월_계,2008년03월_계,2008년04월_계,2008년05월_계,2008년06월_계,2008년07월_계,2008년08월_계,2008년09월_계,2008년10월_계,2008년11월_계,2008년12월_계
2314,4373033000,충청북도 옥천군 안내면,2,1,1,0,0,2,1,0,0,0,0,0
2315,4373034000,충청북도 옥천군 청성면,2,0,1,5,0,1,3,1,0,2,0,1
2316,4373035000,충청북도 옥천군 청산면,5,0,1,3,1,1,0,1,1,2,0,2
2317,4373036000,충청북도 옥천군 이원면,4,4,3,3,3,0,1,1,1,4,1,4
2318,4373037000,충청북도 옥천군 군서면,0,2,1,3,0,0,0,1,1,0,1,1
2319,4373038000,충청북도 옥천군 군북면,0,2,0,0,0,1,3,1,1,0,0,1
2320,4374000000,충청북도 영동군 ,24,21,33,26,16,23,29,26,22,28,26,32
2321,4374025000,충청북도 영동군 영동읍,13,15,19,10,4,13,17,16,16,13,12,20
2322,4374031000,충청북도 영동군 용산면,0,1,3,3,2,0,2,0,1,2,1,4
2323,4374032000,충청북도 영동군 황간면,0,2,2,0,1,0,1,1,1,3,1,2
2324,4374033500,충청북도 영동군 추풍령면,2,0,0,3,1,1,1,3,0,2,5,1
2325,4374034000,충청북도 영동군 매곡면,1,0,1,0,2,0,1,1,0,0,1,2
2326,4374035000,충청북도 영동군 상촌면,1,2,0,4,0,2,1,0,0,2,0,0
2327,4374036000,충청북도 영동군 양강면,4,0,3,3,2,3,2,2,0,3,4,1
2328,4374037000,충청북도 영동군 용화면,0,0,0,0,0,0,0,1,1,0,0,0
2329,4374038000,충청북도 영동군 학산면,1,0,2,1,2,1,3,1,0,1,0,0
2330,4374039000,충청북도 영동군 양산면,1,0,2,2,1,1,0,1,1,1,1,1
2331,4374040000,충청북도 영동군 심천면,1,1,1,0,1,2,1,0,2,1,1,1
2332,4374500000,충청북도 증평군 ,38,33,27,22,31,17,35,26,36,32,30,39
2333,4374525000,충청북도 증평군 증평읍,36,33,25,22,30,17,34,25,34,31,30,39
2334,4374531000,충청북도 증평군 도안면,2,0,2,0,1,0,1,1,2,1,0,0
2335,4375000000,충청북도 진천군 ,49,53,49,52,48,49,48,48,40,45,52,55
2336,4375025000,충청북도 진천군 진천읍,21,30,25,28,18,27,31,26,19,23,29,27
2337,4375031000,충청북도 진천군 덕산면,7,6,7,2,4,5,5,4,6,6,3,4
2338,4375032000,충청북도 진천군 초평면,3,0,0,1,2,0,1,4,0,0,2,2
2339,4375033000,충청북도 진천군 문백면,0,4,3,2,2,0,0,1,1,1,1,2
2340,4375034000,충청북도 진천군 백곡면,0,0,1,0,0,1,0,1,1,0,0,1
2341,4375035000,충청북도 진천군 이월면,9,9,7,11,12,6,6,7,6,5,5,6
2342,4375037000,충청북도 진천군 광혜원면,9,4,6,8,10,10,5,5,7,10,12,13
2343,4376000000,충청북도 괴산군 ,14,14,15,12,15,13,23,12,14,17,12,13
2344,4376025000,충청북도 괴산군 괴산읍,5,2,7,3,7,7,9,3,6,6,4,4
2345,4376031000,충청북도 괴산군 감물면,0,2,0,1,1,0,1,0,1,1,1,0
2346,4376032000,충청북도 괴산군 장연면,0,1,2,0,1,0,1,1,0,0,0,2
2347,4376033000,충청북도 괴산군 연풍면,1,1,0,0,1,0,0,0,0,1,1,0
2348,4376034000,충청북도 괴산군 칠성면,1,1,0,1,1,0,1,1,1,0,0,2
2349,4376035000,충청북도 괴산군 문광면,1,0,0,1,0,0,0,3,3,0,0,0
2350,4376036000,충청북도 괴산군 청천면,0,3,1,1,0,0,6,2,0,2,3,2
2351,4376037000,충청북도 괴산군 청안면,1,0,1,0,0,2,2,0,1,1,1,0
2352,4376039000,충청북도 괴산군 사리면,2,1,1,1,1,2,1,0,0,3,1,3
2353,4376040000,충청북도 괴산군 소수면,1,0,0,2,1,1,1,1,1,1,1,0
2354,4376041000,충청북도 괴산군 불정면,2,3,3,2,2,1,1,1,1,2,0,0
2355,4377000000,충청북도 음성군 ,80,71,97,79,63,56,62,69,66,72,52,76
2356,4377025000,충청북도 음성군 음성읍,17,13,16,10,9,8,12,11,6,16,14,15
2357,4377025300,충청북도 음성군 금왕읍,18,22,25,29,23,19,18,23,25,17,17,23
