YYMM,경상북도 군위군 ,전라남도 함평군 ,경상북도 청송군 ,충청남도 청양군 ,경상북도 영양군 ,전라남도 신안군 ,경상북도 의성군 ,경상남도 남해군 ,경상북도 봉화군 ,전라남도 보성군 ,충청북도 괴산군 ,경상남도 산청군 ,경상남도 합천군 ,경상남도 의령군 ,경상북도 예천군 ,전라북도 임실군 ,경상북도 영덕군 ,경상북도 청도군 ,전라남도 곡성군 ,전라남도 진도군 ,충청북도 보은군 ,전라남도 장흥군 ,충청남도 서천군 ,전라북도 순창군 
1104,7833,10850,7761,9264,5618,12889,18575,15001,9771,14384,10340,10464,15978,9176,13939,8850,11949,12417,9277,9622,9539,11908,15839,8572
1105,7822,10857,7754,9255,5619,12927,18565,15041,9756,14406,10332,10464,15974,9179,13945,8852,11947,12424,9307,9626,9547,11914,15843,8577
1106,7810,10829,7748,9270,5622,12935,18526,15041,9751,14406,10352,10480,15938,9151,13923,8852,11935,12434,9332,9637,9549,11946,15849,8571
1107,7796,10849,7752,9301,5613,12946,18515,15063,9750,14411,10353,10505,15950,9150,13913,8861,11941,12433,9331,9642,9572,11955,15863,8579
1108,7804,10870,7761,9324,5617,12968,18568,15113,9766,14432,10380,10520,15955,9149,13933,8879,11962,12435,9337,9652,9586,11965,15900,8594
1109,7819,10892,7785,9337,5616,12971,18599,15165,9771,14452,10410,10544,15994,9170,13940,8879,11982,12463,9338,9666,9600,11969,15908,8594
1110,7826,10892,7790,9333,5612,12970,18600,15184,9749,14458,10411,10560,16008,9172,13949,8888,12000,12470,9352,9658,9622,11980,15934,8589
1111,7839,10892,7791,9349,5603,12972,18608,15184,9761,14435,10407,10561,16003,9160,13948,8926,12011,12473,9353,9655,9617,11979,15968,8580
1112,7832,10878,7786,9354,5602,12979,18628,15251,9737,14439,10421,10579,16054,9174,13927,8941,12029,12501,9371,9668,9625,11988,16008,8590
1201,7839,10909,7826,9358,5603,12974,18664,15257,9767,14495,10427,10594,16061,9161,13916,8948,12050,12519,9415,9672,9638,11969,16054,8606
